news,247578,247578,0.108188443,108.1884429,,
sports,99152,346730,,,,
politics,77555,424285,,,,
local,54701,478986,,,,
MAGA,29371,508357,,,,
world,29322,537679,,,,
business,27151,564830,,,,
Chicago,23837,588667,,,,
health,22367,611034,,,,
love,19655,630689,,,,2288396
USA,17961,648650,,,,
breaking,17890,666540,,,,
TopNews,16558,683098,,,,
BlackLivesMatter,14709,697807,,,,
TRUE,13890,711697,,,,
Texas,13166,724863,,,,
NewYork,12283,737146,,,,
tcot,11949,749095,,,,
Fukushima2015,11747,760842,,,,
Foke,11173,772015,,,,
quote,11156,783171,,,,
showbiz,11132,794303,,,,
tech,10799,805102,,,,
PJNET,9864,814966,,,,
entertainment,9474,824440,,,,
FukushimaAgain,9343,833783,,,,
crime,8764,842547,,,,
rap,8687,851234,,,,
SanJose,8449,859683,,,,
top,8279,867962,,,,
AmericaFirst,7305,875267,,,,
Trump,6801,882068,,,,
ISIS,6417,888485,,,,
ColumbianChemicals,6288,894773,,,,
Cleveland,6000,900773,,,,
America,5985,906758,,,,
money,5942,912700,,,,
environment,5857,918557,,,,
LavrovBeStrong,5521,924078,,,,
games,5476,929554,,,,
NowPlaying,5345,934899,,,,
SanDiego,5040,939939,,,,
baseball,5022,944961,,,,
life,5008,949969,,,,
Nukraine,5004,954973,,,,
mar,4865,959838,,,,
StLouis,4863,964701,,,,
imho,4800,969501,,,,
RT,4626,974127,,,,
topl,4619,978746,,,,
WakeUpAmerica,4489,983235,,,,
celebs,4403,987638,,,,
ARRESTObama,4393,992031,,,,
FAKENEWS,4382,996413,,,,
TurkeyAggressor,4352,1000765,,,,
science,4145,1004910,,,,
Chernobyl2015,4143,1009053,,,,
StopTANK,4063,1013116,,,,
2A,3949,1017065,,,,
IslamKills,3927,1020992,,,,
MakeAmericaGreatAgain,3854,1024846,,,,
ToDoListBeforeChristmas,3785,1028631,,,,
TCOT,3767,1032398,,,,
Syria,3756,1036154,,,,
TrumpTrain,3747,1039901,,,,
ObamaGate,3732,1043633,,,,
LA,3533,1047166,,,,
Baltimore,3530,1050696,,,,
sted,3504,1054200,,,,
BlackTwitter,3454,1057654,,,,
Obama,3397,1061051,,,,
ThingsYouCantIgnore,3367,1064418,,,,
BuildTheWall,3352,1067770,,,,
MariaMozhaiskayHappyNY,3330,1071100,,,,
KochFarms,3323,1074423,,,,
RAP,3307,1077730,,,,
music,3277,1081007,,,,
SurvivalGuideToThanksgiving,3252,1084259,,,,
hockey,3212,1087471,,,,
News,3175,1090646,,,,
quotes,3158,1093804,,,,
MaterialEvidence,3156,1096960,,,,
MustBeBanned,3143,1100103,,,,
amb,3142,1103245,,,,
GOPDebate,3107,1106352,,,,
MadeInRussia,3057,1109409,,,,
IHatePokemonGoBecause,3027,1112436,,,,
ccot,3016,1115452,,,,
IGetDepressedWhen,2950,1118402,,,,
2016In4Words,2895,1121297,,,,
IStartCryingWhen,2790,1124087,,,,
may,2776,1126863,,,,
Merkel,2771,1129634,,,,
AlternativeAcronymInterpretations,2742,1132376,,,,
phosphorusdisaster,2663,1135039,,,,
US,2635,1137674,,,,
Russia,2577,1140251,,,,
GiftIdeasForPoliticians,2541,1142792,,,,
ValentinesDayIn3Words,2524,1145316,,,,
Turkey,2487,1147803,,,,
DontTellAnyoneBut,2456,1150259,,,,
iHQ,2430,1152689,,,,
SomeoneWhoKillsChildren,2412,1155101,,,,
PoliceBrutality,2394,1157495,,,,
Trump2016,2392,1159887,,,,
RejectedDebateTopics,2391,1162278,,,,
pjnet,2378,1164656,,,,
Breaking,2373,1167029,,,,
Sports,2345,1169374,,,,
ToAvoidWorkI,2320,1171694,,,,
ToFeelBetterI,2304,1173998,,,,
EAEC,2279,1176277,,,,
ObamaNextJob,2272,1178549,,,,
p2,2260,1180809,,,,
STOPNazi,2252,1183061,,,,
FakeNews,2241,1185302,,,,
MyOlympicSportWouldBe,2235,1187537,,,,
th,2232,1189769,,,,
IHaveADream,2223,1191992,,,,
art,2223,1194215,,,,
Wisconsin,2223,1196438,,,,
ObamasWishList,2216,1198654,,,,
BLM,2200,1200854,,,,
ThingsThatShouldBeCensored,2197,1203051,,,,
Atlanta,2187,1205238,,,,
ChristmasAftermath,2162,1207400,,,,
BetterAlternativeToDebates,2161,1209561,,,,
SusanRice,2154,1211715,,,,
maga,2132,1213847,,,,
DeadHorse,2114,1215961,,,,
Maryland,2098,1218059,,,,
7K9268,2094,1220153,,,,
CCOT,2079,1222232,,,,
DrainTheSwamp,2065,1224297,,,,
Vault7,2059,1226356,,,,
noticias,2051,1228407,,,,
IS,2048,1230455,,,,
TrumpForPresident,2045,1232500,,,,
ChildrenThinkThat,2033,1234533,,,,
ThingsMoreTrustedThanHillary,2015,1236548,,,,
MyEmmyNominationWouldBe,1999,1238547,,,,
Brussels,1993,1240540,,,,
BlackSkinIsNotACrime,1981,1242521,,,,
RuOpen,1961,1244482,,,,
NeverHillary,1953,1246435,,,,
RedNationRising,1930,1248365,,,,
summer,1920,1250285,,,,
Hillary,1916,1252201,,,,
SecondhandGifts,1914,1254115,,,,
StayWoke,1891,1256006,,,,
IHaveARightToKnow,1856,1257862,,,,
INeedALawyerBecause,1848,1259710,,,,
usa,1847,1261557,,,,
blacklivesmatter,1841,1263398,,,,
DemnDebate,1837,1265235,,,,
USFA,1824,1267059,,,,
God,1813,1268872,,,,
RuinADinnerInOnePhrase,1767,1270639,,,,
VegasGOPDebate,1750,1272389,,,,
ANTIFA,1732,1274121,,,,
TRUMP,1729,1275850,,,,
HollywoodUndead,1727,1277577,,,,
jud,1719,1279296,,,,
HowToLoseYourJob,1714,1281010,,,,
ItsRiskyTo,1699,1282709,,,,
IHate,1697,1284406,,,,
ReasonsToGetDivorced,1682,1286088,,,,
FergusonRemembers,1678,1287766,,,,
Wiretap,1673,1289439,,,,
SextingWentWrongWhen,1653,1291092,,,,
StopIslam,1653,1292745,,,,
BlackHistoryMonth,1650,1294395,,,,
Aleppo,1644,1296039,,,,
IdRunForPresidentIf,1642,1297681,,,,
DemDebate,1627,1299308,,,,
StopTheGOP,1619,1300927,,,,
ProbableTrumpsTweets,1615,1302542,,,,
WhenIWasYoung,1612,1304154,,,,
WakeUpWorldRussiaInvadedUkraine,1607,1305761,,,,
FireRyan,1591,1307352,,,,
BlackToLive,1585,1308937,,,,
imo,1584,1310521,,,,
newyork,1579,1312100,,,,
IfICouldntLie,1574,1313674,,,,
CrookedHillary,1572,1315246,,,,
NYC,1572,1316818,,,,
FUKUSHIMA2015,1565,1318383,,,,
feelings,1552,1319935,,,,
OscarHasNoColor,1543,1321478,,,,
blacktolive,1540,1323018,,,,
POTUSLastTweet,1500,1324518,,,,
PartyWentWrongWhen,1498,1326016,,,,
just,1484,1327500,,,,
AddPotInAMovie,1470,1328970,,,,
Prayers4California,1457,1330427,,,,
AmericanPower,1456,1331883,,,,
LifeWouldBeBetterIf,1454,1333337,,,,
Erdogan,1454,1334791,,,,
MH17,1443,1336234,,,,
HillaryClinton,1440,1337674,,,,
Iraq,1433,1339107,,,,
ReasonsToProtest,1423,1340530,,,,
MakeMeHateYouInOnePhrase,1411,1341941,,,,
blacktwitter,1400,1343341,,,,
vvmar,1398,1344739,,,,
marv,1398,1346137,,,,
USDA,1394,1347531,,,,
RealLifeMagicSpells,1389,1348920,,,,
WELOVEYOUTOONIALL,1380,1350300,,,,
Local,1379,1351679,,,,
PresentsTrumpGot,1376,1353055,,,,
SAA,1371,1354426,,,,
ThingsEveryBoyWantsToHear,1370,1355796,,,,
TheFirst100DaysToDoList,1362,1357158,,,,
NoDAPL,1361,1358519,,,,
TrumpsFavoriteHeadline,1356,1359875,,,,
soundcloud,1350,1361225,,,,
ILoveMyFriendsBut,1346,1362571,,,,
FeelTheBern,1346,1363917,,,,
nowplaying,1344,1365261,,,,
hiphop,1334,1366595,,,,
SometimesItsOkTo,1332,1367927,,,,
IfIHadABodyDouble,1331,1369258,,,,
CruzCrew,1328,1370586,,,,
events,1320,1371906,,,,
POTUS,1319,1373225,,,,
IAmOnFire,1317,1374542,,,,
beautiful,1312,1375854,,,,
JailObamaSpyRing,1309,1377163,,,,
IAMONFIRE,1309,1378472,,,,
fukushima2015,1300,1379772,,,,
jan,1295,1381067,,,,
staywoke,1286,1382353,,,,
ArmyWomenProblems,1256,1383609,,,,
TrumpPence16,1244,1384853,,,,
